Latitude,Longitude,Sample Date,coastal,blue,green,red,nir,swir16,swir22,lwir,lwir11,trad,urad,drad,atran,emis,emsd,cdist,scene_date,scene_dist_km,NDMI,MNDWI
-28.760833,17.730278,02-01-2011,,9557.0,11426.0,12802.0,11190.0,7687.5,7645.0,44344.0,,8935.0,1835.0,890.0,7669.0,9880.0,0.0,2447.5,2011-03-14,,0.18553833929280794,0.19559473670442257
-26.861111,28.884722,03-01-2011,,8691.0,9550.0,9241.5,17658.5,13746.5,10574.0,45396.5,,9097.0,1477.5,747.0,7957.5,9570.5,0.0,476.5,2011-02-10,,0.12456615188664187,-0.18013435494602117
-26.45,28.085833,03-01-2011,,,,,,,,,,,,,,,,,,,,
-27.671111,27.236944,03-01-2011,,9693.5,10943.0,11237.5,14887.0,13522.0,11403.0,46121.0,,8990.0,2550.0,1198.0,6476.0,9756.5,96.5,381.5,2011-02-16,,0.04804815375409185,-0.10541590026568524
-27.356667,27.286389,03-01-2011,,8718.0,9502.5,9290.0,16828.5,12665.5,9643.0,44381.0,,8547.0,2526.0,1187.0,6521.0,9829.5,95.0,930.0,2011-02-16,,0.1411473520037969,-0.14268314687838263
-27.01011111,26.69808333,04-01-2011,,9344.0,10433.5,10728.5,12433.5,9579.5,8531.5,44339.0,,8492.0,2668.0,1245.0,6332.0,9804.5,67.0,592.0,2011-02-16,,0.1296506609730608,0.04267226302903092
-25.127778,27.628889,04-01-2011,,4984.0,5189.5,5122.0,7814.0,6664.0,5222.0,22583.0,,-497.5,-3682.5,-4376.0,-1702.5,-117.0,-4978.5,-4990.5,2011-03-12,,0.07943086061610664,-0.12439363900957418
-25.20639,27.558,04-01-2011,,10039.0,10466.5,9985.0,14137.5,10315.5,8536.0,44583.0,,8744.0,2629.0,1244.5,6600.5,9619.0,54.0,1.5,2011-03-12,,0.1562998405103662,0.007265903185448912
-24.69514,27.40906,04-01-2011,,9921.0,10647.0,10524.0,15543.0,11919.5,9642.5,45279.0,,8948.5,2725.0,1284.0,6481.0,9529.0,80.0,3.0,2011-03-12,,0.13194355939918023,-0.056388895043537744
-26.98472222,26.63227778,04-01-2011,,9414.0,10207.0,10262.5,13683.0,14011.5,11850.5,46784.0,,9156.0,2652.0,1237.0,6366.0,9693.0,77.0,274.5,2011-02-16,,-0.01186156095975731,-0.15709065383900672
-28.141944,26.417778,04-01-2011,,9085.5,9840.0,9679.0,14391.0,13799.5,11265.0,45407.0,,8796.5,2396.0,1141.0,6665.0,9719.0,48.5,2404.0,2011-02-16,,0.020982245792022063,-0.16749508238329844
-27.398611,26.614722,04-01-2011,,9253.5,10247.0,10126.0,15515.5,12823.0,10403.5,44909.5,,8630.5,2745.0,1277.0,6223.0,9792.0,62.0,210.5,2011-02-16,,0.09501208603137042,-0.11166016471608102
-33.501667,21.624167,04-01-2011,,,,,,,,,,,,,,,,,2011-03-26,,,
-32.502778,19.535833,04-01-2011,,10579.0,13104.0,14613.0,17653.0,19330.0,16984.0,48033.5,,10014.5,2404.5,1139.0,7154.0,9522.0,54.0,8443.5,2011-02-28,,-0.0453451585863774,-0.191959055312326
-25.45963889,28.26430556,04-01-2011,,,,,,,,,,,,,,,,,,,,
